@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3346875,F,BL,,,18/SP,Y
3341348,F,WHI,,17/FA,,Y
3334539,M,AN,,16/FA,,
3342031,M,HIS,,17/FA,,Y
3339898,F,MUL,,17/FA,,Y
3352537,M,BL,,18/FA,,Y
3348393,F,WHI,Y,18/FA,,Y
3341390,F,WHI,,17/FA,,
3335160,M,WHI,,16/FA,,Y
3347278,F,WHI,,18/FA,,
3330861,M,HIS,,16/FA,,
3347523,F,HIS,Y,18/FA,,
3352343,M,WHI,,18/FA,,
3349845,F,WHI,,18/FA,,
3347518,M,HIS,,18/FA,,
3338911,M,MUL,,17/FA,,
3340494,F,WHI,,17/FA,,
3333144,F,HIS,Y,16/FA,,
3350142,M,HIS,,18/FA,,
3343254,F,HIS,,17/FA,,Y
3325774,F,HIS,,15/FA,,Y
3344187,M,HIS,,17/FA,,
3321992,F,MUL,,15/FA,,Y
3335839,M,AN,,16/FA,,
3348387,M,HIS,,18/FA,,
3351361,F,HIS,,18/FA,,
3343469,M,HIS,Y,17/FA,,
3346228,M,WHI,,18/FA,,
3339768,F,WHI,,17/FA,,
3324017,F,WHI,,15/FA,,
3343449,M,HIS,,17/FA,,
3338627,F,WHI,,17/FA,,Y
3336296,F,WHI,,16/FA,,Y
3338543,F,WHI,,17/FA,,
3341764,F,WHI,,17/FA,,Y
3324467,F,WHI,,,17/SP,Y
3325113,F,WHI,,15/FA,,Y
3351770,M,HIS,Y,18/FA,,Y
3341734,F,WHI,,17/FA,,
3324166,M,HIS,,15/FA,,
3340892,M,HIS,,17/FA,,
3335770,F,HIS,Y,16/FA,,
2846415,F,HIS,,16/FA,,
3351047,M,WHI,,18/FA,,
3336920,M,WHI,,,18/FA,
3337215,M,WHI,Y,16/FA,,
3347258,F,WHI,,18/FA,,
3350728,M,WHI,,18/FA,,Y
3352435,F,WHI,,18/FA,,
3350416,F,HIS,Y,18/FA,,Y
3350629,F,WHI,,18/FA,,
3339496,F,HIS,,17/FA,,
3330389,F,HIS,,16/FA,,Y
3326604,M,WHI,Y,15/FA,,Y
3342855,M,WHI,,17/FA,,
3350607,M,WHI,Y,18/FA,,Y
3350090,M,WHI,,18/FA,,
3347155,F,WHI,,18/FA,,
3340469,M,MUL,,17/FA,,
3353350,F,WHI,,,18/FA,
3325521,M,WHI,,15/FA,,
3324372,F,WHI,,15/FA,,
3344577,F,HIS,Y,17/FA,,
3341822,M,WHI,,17/FA,,
3341205,F,WHI,Y,17/FA,,
