STH.STUDENT,STH.TERM,SWU.STH.CODE.DESC,SWU.STH.REASON.DESC,SWU.12DH.START.TERM,SWU.12DH.ADMIT.STATUS,SWU.12DH.ORIG.START.TERM,SWU.12DH.ORIG.ADMIT.STATUS,SWU.LAST.T.TERM,SWU.12TH.FY.COHORT
3352145,19/SP,LOA-Student,LOA-Student,18/FA,1,,,18/FA,18/FA
3332784,19/SP,Study Abroad,Italy,16/FA,1,,,19/FA,16/FA
3348815,20/SP,Study Abroad,Spain,18/FA,1,,,19/FA,18/FA
3338530,20/SP,Study Abroad,Chile,17/FA,1,,,19/FA,17/FA
3342084,20/SP,LOA-Student,LOA-Student,17/FA,1,,,19/SP,17/FA
3341761,20/SP,Study Abroad,England,17/FA,1,,,19/FA,17/FA
3352537,20/SP,LOA-Student,LOA-Student,18/FA,1,,,19/FA,18/FA
3340469,20/SP,LOA-Student,Financial,17/FA,1,,,19/FA,17/FA
3350016,20/SP,Study Abroad,Hungary,18/FA,1,,,19/FA,18/FA
3348722,20/SP,Study Abroad,New Zealand,18/FA,1,,,19/FA,18/FA
3340713,20/SP,LOA-Student,Medical,17/FA,1,,,19/FA,17/FA
3349049,20/SP,LOA-Student,LOA-Student,18/FA,1,,,19/SP,18/FA
3349593,20/SP,LOA-Student,LOA-Student,18/FA,1,,,19/SP,18/FA
1213061,20/SP,LOA-Student,Medical,12/FA,3,03/FA,8,19/FA,
3314075,20/SP,Study Abroad,Hungary,17/FA,1,,,19/FA,17/FA
3340630,20/SP,Study Abroad,Denmark,17/FA,1,,,19/FA,17/FA
3340630,20/SP,LOA-Student,LOA-Student,17/FA,1,,,19/FA,17/FA
3343343,20/SP,LOA-Student,LOA-Student,17/FA,1,,,19/SP,17/FA
3352300,20/SP,LOA-Student,LOA-Student,18/FA,1,,,19/SP,18/FA
3351266,20/SP,Study Abroad,France,18/FA,1,,,19/FA,18/FA
3351059,20/SP,LOA-Student,LOA-Student,18/FA,1,,,19/FA,18/FA
3346287,20/SP,Study Abroad,USA,17/FA,2,,,19/FA,
3339587,20/SP,LOA-Student,LOA-Student,17/FA,1,,,19/FA,17/FA
3350499,20/SP,LOA-Student,LOA-Student,18/FA,1,,,19/S1,18/FA
